penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
00-0034391,S.Neal,Unsportsmanlike Conduct,15.0,4.0,17.0,77.0,3.0,273.0,-1.111075125169009,0.0062928348779678345,MIA,2024_04_TEN_MIA
00-0033073,E.Ogbah,Face Mask,15.0,2.0,10.0,38.0,4.0,844.0,1.6796660699183121,0.00464099645614624,TEN,2024_04_TEN_MIA
00-0035993,T.Huntley,Intentional Grounding,8.0,1.0,10.0,92.0,4.0,153.0,-2.7079333243891597,-0.010203579440712929,MIA,2024_04_TEN_MIA
00-0035280,J.Bailey,Unsportsmanlike Conduct,10.0,,0.0,20.0,4.0,147.0,3.4684711162699386,0.0047400593757629395,TEN,2024_04_TEN_MIA
00-0035208,O.Zaccheaus,Taunting,15.0,1.0,10.0,34.0,4.0,812.0,0.008763545891270041,0.0006741881370544434,WAS,2024_04_WAS_ARI
00-0034473,D.Gardeck,Unnecessary Roughness,15.0,3.0,9.0,75.0,4.0,422.0,3.3547102035954595,0.0006044507026672363,WAS,2024_04_WAS_ARI
00-0033955,J.McNichols,Taunting,15.0,2.0,7.0,7.0,4.0,273.0,2.148996372532565,0.0005779336279374547,WAS,2024_04_WAS_ARI
00-0034383,D.Schultz,Taunting,15.0,1.0,10.0,52.0,3.0,863.0,-1.71484490390867,-0.017658650875091553,HOU,2024_05_BUF_HOU
00-0037246,J.Pitre,Unnecessary Roughness,15.0,2.0,12.0,53.0,3.0,596.0,2.424328024382703,0.01775539666414261,BUF,2024_05_BUF_HOU
00-0034966,D.Ross,Illegal Touch Kick,5.0,4.0,8.0,55.0,3.0,86.0,-0.28907926054671407,-0.02314046025276184,HOU,2024_05_BUF_HOU
00-0039163,C.Stroud,Intentional Grounding,10.0,3.0,5.0,39.0,4.0,44.0,-1.1651770048774779,-0.17294716835021973,HOU,2024_05_BUF_HOU
00-0033077,D.Prescott,Intentional Grounding,10.0,3.0,1.0,61.0,1.0,406.0,-2.8841475443914533,-0.0669240951538086,DAL,2024_05_DAL_PIT
00-0039454,B.Bishop,Face Mask,15.0,2.0,6.0,62.0,2.0,710.0,1.643028381979093,0.035640060901641846,DAL,2024_05_DAL_PIT
00-0037336,B.Hoffman,Unnecessary Roughness,15.0,2.0,3.0,62.0,4.0,664.0,-0.5486060793045908,-0.0029546022415161133,DAL,2024_05_DAL_PIT
00-0035301,Do.Wilson,Unnecessary Roughness,7.0,3.0,1.0,34.0,4.0,363.0,2.3658155808225274,0.1504024863243103,PIT,2024_05_DAL_PIT
00-0036264,J.Love,Illegal Forward Pass,5.0,2.0,7.0,19.0,2.0,37.0,-2.3143850949127227,-0.08616086840629578,GB,2024_05_GB_LA
00-0038997,J.Downs,Unsportsmanlike Conduct,15.0,1.0,10.0,39.0,1.0,847.0,0.26134772214572877,0.018217802047729492,IND,2024_05_IND_JAX
00-0035628,D.Johnson,Face Mask,15.0,1.0,10.0,70.0,4.0,894.0,-1.5894765076227486,-0.007996857166290283,JAX,2024_05_IND_JAX
00-0035406,L.Humphrey,Offensive Pass Interference,10.0,1.0,10.0,22.0,2.0,900.0,-1.2570916035328992,-0.0234796404838562,DEN,2024_05_LV_DEN
00-0034960,J.Meyers,Offensive Pass Interference,6.0,1.0,10.0,87.0,2.0,93.0,-0.37238560093101114,-0.058024853467941284,LV,2024_05_LV_DEN
00-0038634,N.Silvera,Unnecessary Roughness,15.0,,0.0,15.0,4.0,494.0,0.06757300310763314,5.48652320675469e-6,DEN,2024_05_LV_DEN
00-0034805,J.Franklin-Myers,Unsportsmanlike Conduct,1.0,1.0,3.0,3.0,4.0,246.0,0.9977318753954023,-0.00022489252686497263,LV,2024_05_LV_DEN
00-0038579,A.O'Connell,Intentional Grounding,9.0,2.0,10.0,90.0,4.0,179.0,-1.3095869955141097,-0.0002525085583329201,LV,2024_05_LV_DEN
00-0035890,T.Wharton,Unnecessary Roughness,15.0,1.0,10.0,58.0,4.0,648.0,0.8563823259901255,0.015536874532699585,NO,2024_05_NO_KC
00-0035535,D.Slayton,Unsportsmanlike Conduct,15.0,1.0,10.0,77.0,3.0,731.0,1.9043289248365909,0.05217742919921875,NYG,2024_05_NYG_SEA
00-0036643,K.Britt,Unnecessary Roughness,15.0,2.0,10.0,56.0,2.0,894.0,1.3681769407121465,0.06446599960327148,ATL,2024_05_TB_ATL
00-0029604,K.Cousins,Intentional Grounding,10.0,1.0,10.0,38.0,2.0,459.0,-1.5247579304268584,-0.07980921864509583,ATL,2024_05_TB_ATL
00-0034854,K.Hodge,Offensive Pass Interference,10.0,1.0,10.0,18.0,3.0,493.0,-1.201899554755073,-0.028651267290115356,ATL,2024_05_TB_ATL
00-0039370,J.Bertrand,Unnecessary Roughness,14.0,3.0,1.0,30.0,3.0,237.0,1.535549481457565,0.04963350296020508,TB,2024_05_TB_ATL
00-0037141,J.Blount,Face Mask,15.0,4.0,9.0,91.0,1.0,700.0,-0.7248420352116227,0.008334934711456299,ARI,2024_06_ARI_GB
00-0034728,J.Alexander,Unnecessary Roughness,15.0,2.0,9.0,69.0,2.0,227.0,1.5305761022609659,0.0042013078927993774,ARI,2024_06_ARI_GB
00-0035961,K.Barnes,Unnecessary Roughness,15.0,3.0,4.0,72.0,4.0,859.0,2.309066744754091,0.003484368324279785,GB,2024_06_ARI_GB
00-0035689,D.Knox,Offensive Pass Interference,10.0,1.0,10.0,29.0,3.0,764.0,-1.0100004527484998,-0.015388786792755127,BUF,2024_06_BUF_NYJ
00-0036192,A.Epenesa,Unnecessary Roughness,15.0,3.0,8.0,61.0,3.0,578.0,1.8298833929002285,0.06716740131378174,NYJ,2024_06_BUF_NYJ
